来源,短语,说明/例句
书本,on foot,走路，步行
书本,on show,展出，在上演（放映）
书本,on time,准时
书本,on/over the radio /,通过收音机
书本,once again,再一次
书本,once more,再一次
书本,once upon a time,从前，很久以前
书本,one after another,一个接一个
书本,ought to,应该
书本,out of breath,上气不接下气
书本,out of work,失业
书本,over and over again,反复，多次重复
书本,pass by,经过
书本,pay attention to,注意
书本,pay back,偿还（借款等）
书本,pay for,付款
书本,pick out,选出
书本,pick up……,"拾起，捡起,接收；开车去接……"
书本,point out,指出
书本,point to,指向
书本,prevent ..from ..,"妨碍,防止,预防"
书本,put away,储存
书本,put down,记下
书本,put off,推迟
书本,put on,穿，戴上，上演
书本,put on weight,发福，增加体重
书本,put out,扑灭，关熄
书本,put up,"挂起，举起,贴（广告等）"
书本,rather than,而不，非
书本,refer to,提到，涉及，有关
书本,regard..as…… ..,把……看作
书本,right away,立即，马上
书本,right now,立即，马上
书本,ring back,回电话
书本,ring up,打电话给
书本,run away,"逃跑,失控"
书本,run out of,用完
书本,save one's life,挽救某人生命
书本,see...off ...,为某人送行
书本,sell out,"卖完,出卖"
书本,send for,派人去叫（请）
书本,send out,发出，派遣
书本,send up,"发出,射出"
书本,separate...from... ......,分开
书本,set free,释放，解放
书本,set off,动身，起程；使爆发
书本,set out,出发;开始
书本,show off,炫耀
书本,side by side,肩并肩，一起
书本,so as to,以便，为的是
书本,so far,到目前为止
书本,so far as………… （,表示程度，范围）就……，尽……
书本,so long as,只要
书本,so...that………… ...,太……以至于……
书本,sooner or later,迟早，早晚
书本,speed up,加快速度
书本,spend...on…… ...,在……花钱
书本,stand for,代表，象征
书本,stop doing sth. .,停止做某事
书本,stop to do sth. .,停下来做某事
书本,such as,例如
书本,take away,拿走
书本,take it easy,别着急，别紧张
书本,take off,脱下，起飞
书本,take one's time,从容，慢慢行动
书本,take out,取出
书本,take place,发生
书本,take the place of,取代，代替
书本,take up,占去，占据（时间、地位等）
书本,talk about,谈论，议论
书本,talk of,谈论，议论
书本,the day after tomorrow,后天
书本,the day before yesterday,前天
书本,the more...the more...………… ... ...,越……就越……
书本,the other day,前几天，某日
书本,think about,考虑（是否去做）
书本,think of,想起，考虑；认为，看法
书本,thousands of,成千上万，几千
书本,throw away,扔掉
书本,too...to………… ...,太……以至于不……
书本,try on,试穿，试试看
书本,try out,试验
书本,turn down,关小，调低
书本,turn off,关掉（水、电、电视、收音机等）
书本,turn on,打开（水、电视、收音机、灯、煤气等）
书本,turn over,翻动，犁翻（土地）
书本,turn up,到达，来到；开大（声音）
书本,up and down,上下，来回
书本,used to do sth. .,过去常常
书本,used to sth. .,习惯于
书本,wait for,等候，等待
书本,wake up,醒来
书本,work out,算出，解决
书本,worry about,担心，烦恼
书本,write down,写下，记下
书本,write to……,写信给……
剑桥官方,base on,basic (adj)
剑桥官方,be over,The game is over – you’re too late!
剑桥官方,break up,When does school break up?
剑桥官方,call for,I’ll call for you at 7.
剑桥官方,chill out,chilli (n)
剑桥官方,pedestrian crossing cross out,Cross it out and write it again.
剑桥官方,cut up,Page 11 of 53
剑桥官方,dial up,diary (n)
剑桥官方,end up,He plans to end up working in Australia.
剑桥官方,fill up,He filled up the car with petrol.
剑桥官方,get rid of,Have you got rid of those old
剑桥官方,give way,You must give way to traffic at a
剑桥官方,go for,He went for the job.
剑桥官方,hang out,to hang out with friends
剑桥官方,hold up,He was held up in the heavy traffic for
剑桥官方,keep in,She kept the children in as it was so
剑桥官方,knock down,He was knocked down by a car.
剑桥官方,lie down,life (n)
剑桥官方,look at,look for (phr v)
剑桥官方,to pass an examination pass on,Pass on the message.
剑桥官方,pick up,I picked up a pencil.
剑桥官方,put through,"Can you put me through to the manager,"
剑桥官方,run out,He ran out of time and didn’t finish.
剑桥官方,set up,Her mother helped her to set up in
剑桥官方,show up,He showed up at the party
剑桥官方,sit down,site (n)
剑桥官方,in spite of split up,She’s just split up with her boyfriend.
剑桥官方,stay behind,She stayed behind after the lesson to
剑桥官方,tidy up,Page 36 of 53
剑桥官方,the first turning on the left turn into,The water had turned into ice.
剑桥官方,wash up,washing machine (n)
剑桥官方,org at all,at first (prep phr)
剑桥官方,at last,at least (prep phr)
剑桥官方,at once,at present (prep phr)
剑桥官方,at the same time,attitude (n)
剑桥官方,because of,become (v)
剑桥官方,by mistake,by name (prep phr)
剑桥官方,due to,dull (adj)
剑桥官方,in advance,in case (adv & conj)
剑桥官方,in front of,ingredient (n)
剑桥官方,in half,in ink (prep phr)
剑桥官方,in love,in pencil (prep phr)
剑桥官方,in two,invent (v)
剑桥官方,on board,on business (prep phr)
剑桥官方,on fire,on foot (prep phr)
剑桥官方,on holiday,onion (n)
剑桥官方,on purpose,on request (prep phr)
剑桥官方,on sale,on time (prep phr)
剑桥官方,on vacation,open (adj & v)
剑桥官方,out of date,out of order (prep phr)
剑桥官方,up to,up to six people
剑桥官方,up to date,urgent (adj)
剑桥官方,bye,C
剑桥官方,cheers!,cheese (n)
剑桥官方,congratulations!,connect (v)
剑桥官方,Oh dear!,death (n)
剑桥官方,to be good at maths good afternoon,goodbye (exclam)
剑桥官方,good evening,good-looking (adj)
剑桥官方,good morning,good night (exclam)
剑桥官方,hello,helmet (n)
剑桥官方,hey,hi (exclam)
剑桥官方,pardon,Pardon?
剑桥官方,thanks,thank you (exclam)
剑桥官方,wow,wrap (up) (v & phr v)
剑桥官方,yeah,year (n)
剑桥官方,you know,young (adj)
剑桥官方,take care of someone,to care (about/for) someone /
剑桥官方,second class classical,classical music
剑桥官方,too dear to buy,Dear Sir (adj)
剑桥官方,F face,a sad look on his face
剑桥官方,a fall in the price,He fell and hurt his leg. (v)
剑桥官方,first prize,first of all (adv)
剑桥官方,keep fit,These shoes don't fit. (v)
剑桥官方,the head of the company,the head of the school (n)
剑桥官方,key to success keyboard,computer keyboard
剑桥官方,the least amount,at least (adv)
剑桥官方,a railway line link,a link to a website
剑桥官方,a box of matches,a tennis match (n)
剑桥官方,to write a note,a ten-pound note (n)
剑桥官方,to read a notice,until further notice (n)
剑桥官方,buy something online,an online printer (adj)
剑桥官方,to put something in order,to order a meal (v)
剑桥官方,my own pen,on my own (pron)
剑桥官方,a public park,to park a car (v)
剑桥官方,the past few weeks,in the past (n)
剑桥官方,to be patient,a hospital patient (n)
剑桥官方,a safe place,I’ve lost my place in the book. (n)
剑桥官方,third place in a race,London is a big place. (n)
剑桥官方,a street plan,a plan to do something (n)
剑桥官方,a play at the theatre,children playing (v)
剑桥官方,to send it by post,an online post (n)
剑桥官方,to be present,at the present time (adj)
剑桥官方,computer program programmer,computer programmer
剑桥官方,public opinion,to make something public (adj)
剑桥官方,to win a race,to race against fast runners (compete)
剑桥官方,to raise prices range,a mountain range
剑桥官方,a range of products rap,rap artist
剑桥官方,to keep a record,to break a record (n)
剑桥官方,a rest from work,the rest of them (n)
剑桥官方,stand in a ring,a wedding ring (n)
剑桥官方,a round object,the wrong way round (adv)
剑桥官方,the rules of grammar,to rule a country (v)
剑桥官方,to run a business run,go for a run
剑桥官方,to serve in a shop server,a file server
剑桥官方,customer service session,"in a school, gym"
剑桥官方,a film show,Show it to me. (v)
剑桥官方,He showed up at the party shower,a shower of rain
剑桥官方,a road sign,to sign a document (v)
剑桥官方,no sign of life,signs of winter (n)
剑桥官方,to Manchester,to be single (unmarried) (adj)
剑桥官方,a kitchen sink,The ship began to sink. (v)
剑桥官方,the sound of music,It sounds like/as if…(v)
剑桥官方,spare time,to spare the time (v)
剑桥官方,a square room,a market square (n)
剑桥官方,a good start,to start a race (v)
剑桥官方,a walking stick,to stick two things together (v)
剑桥官方,a bus stop,The car stopped. (v)
剑桥官方,to go straight on,a straight road (adj)
剑桥官方,to go on strike,to strike something (v)
剑桥官方,sweet food,a sweet face (adj)
剑桥官方,a sweet smell,to eat a sweet (n)
剑桥官方,light switch,to switch on/off a machine (v)
剑桥官方,to have good taste,to taste food (v)
剑桥官方,a shirt and tie,to tie with string (v)
剑桥官方,the last time,Is it time yet? (n)
剑桥官方,top of the class,at the top of his voice (n)
剑桥官方,to travel by train,to train in a skill (v)
剑桥官方,the trunk of a car true,Is it true?
剑桥官方,a type of person,to type a letter (v)
剑桥官方,underground trains,to travel by underground (n)
剑桥官方,waves at sea,to wave goodbye (v)
剑桥官方,a weekly magazine,to phone home twice weekly (adv)
剑桥官方,a warm welcome,Welcome to London! (v)
剑桥官方,school work,to work for a living (v)
剑桥官方,hard work,to be out of work (n)
剑桥官方,fall over,family (n)
剑桥官方,driving licence lie down,life (n)
剑桥官方,com at all,attractive (adj)
剑桥官方,by post,bye (exclam)
剑桥官方,close to,closed (adj)
剑桥官方,good afternoon,goodbye (exclam)
剑桥官方,by herself hey,hi (exclam)
剑桥官方,okay,old (adj)
剑桥官方,Welcome to London!,well (adv & adj)
剑桥官方,Y Yeah!,year (n)
剑桥官方,to travel around,to sit around the table (prep)
剑桥官方,a break for lunch,Someone’s broken the window. (v)
剑桥官方,bright pink brilliant,I thought the film was brilliant!
剑桥官方,hard wood,the homework was hard (adj)
剑桥官方,a lot,a lot of homework.
剑桥官方,Key and Key for Schools mouse,I got a new mouse for my laptop.
剑桥官方,Q quarter,a quarter of an hour
剑桥官方,a running race,She raced her brother to the bus stop. (v)
剑桥官方,to have a rest,"‘Try to rest,’ the doctor said. (v)"
剑桥官方,my return from holiday,He returned home late. (v)
剑桥官方,a straight line,Go straight on. (adv)
剑桥官方,re welcome,Welcome to London! (exclam)
剑桥官方,the whole world,the whole of July (n)
